construct_id,idr_seq_name,gfp_label,gfp_tag,Z_gfp,topology,N_idr,N_construct,ncpr_idr,fcr_idr,kappa_idr,nu_idr_free,linker,linker_len,fasta_path
Q8NG08_504_537__GFPp15__Ctail,Q8NG08_504_537,GFP+15,GFPp15,15,Ctail,34,249,-0.2647058823529412,0.3235294117647059,0.1498393443022468,0.611,,0,individual/Q8NG08_504_537__GFPp15__Ctail.fasta
Q8NG08_504_537__GFPp5__Ntail,Q8NG08_504_537,GFP+5,GFPp5,5,Ntail,34,249,-0.2647058823529412,0.3235294117647059,0.1498393443022468,0.611,,0,individual/Q8NG08_504_537__GFPp5__Ntail.fasta
Q8NG08_504_537__GFPp5__Ctail,Q8NG08_504_537,GFP+5,GFPp5,5,Ctail,34,249,-0.2647058823529412,0.3235294117647059,0.1498393443022468,0.611,,0,individual/Q8NG08_504_537__GFPp5__Ctail.fasta
Q8NG08_504_537__GFPm15__Ntail,Q8NG08_504_537,GFP-15,GFPm15,-15,Ntail,34,249,-0.2647058823529412,0.3235294117647059,0.1498393443022468,0.611,,0,individual/Q8NG08_504_537__GFPm15__Ntail.fasta
Q8NG08_504_537__GFPm15__Ctail,Q8NG08_504_537,GFP-15,GFPm15,-15,Ctail,34,249,-0.2647058823529412,0.3235294117647059,0.1498393443022468,0.611,,0,individual/Q8NG08_504_537__GFPm15__Ctail.fasta
Q16576_86_115__GFPp15__Ntail,Q16576_86_115,GFP+15,GFPp15,15,Ntail,30,245,-0.1666666666666666,0.3,0.1362425856433845,0.598,,0,individual/Q16576_86_115__GFPp15__Ntail.fasta
Q16576_86_115__GFPp15__Ctail,Q16576_86_115,GFP+15,GFPp15,15,Ctail,30,245,-0.1666666666666666,0.3,0.1362425856433845,0.598,,0,individual/Q16576_86_115__GFPp15__Ctail.fasta
Q16576_86_115__GFPp5__Ntail,Q16576_86_115,GFP+5,GFPp5,5,Ntail,30,245,-0.1666666666666666,0.3,0.1362425856433845,0.598,,0,individual/Q16576_86_115__GFPp5__Ntail.fasta
Q16576_86_115__GFPp5__Ctail,Q16576_86_115,GFP+5,GFPp5,5,Ctail,30,245,-0.1666666666666666,0.3,0.1362425856433845,0.598,,0,individual/Q16576_86_115__GFPp5__Ctail.fasta
Q16576_86_115__GFPm15__Ntail,Q16576_86_115,GFP-15,GFPm15,-15,Ntail,30,245,-0.1666666666666666,0.3,0.1362425856433845,0.598,,0,individual/Q16576_86_115__GFPm15__Ntail.fasta
Q16576_86_115__GFPm15__Ctail,Q16576_86_115,GFP-15,GFPm15,-15,Ctail,30,245,-0.1666666666666666,0.3,0.1362425856433845,0.598,,0,individual/Q16576_86_115__GFPm15__Ctail.fasta
Q9NR21_1_42__GFPp15__Ntail,Q9NR21_1_42,GFP+15,GFPp15,15,Ntail,42,257,-0.1666666666666666,0.3095238095238095,0.2416210487824704,0.573,,0,individual/Q9NR21_1_42__GFPp15__Ntail.fasta
Q9NR21_1_42__GFPp15__Ctail,Q9NR21_1_42,GFP+15,GFPp15,15,Ctail,42,257,-0.1666666666666666,0.3095238095238095,0.2416210487824704,0.573,,0,individual/Q9NR21_1_42__GFPp15__Ctail.fasta
Q9NR21_1_42__GFPp5__Ntail,Q9NR21_1_42,GFP+5,GFPp5,5,Ntail,42,257,-0.1666666666666666,0.3095238095238095,0.2416210487824704,0.573,,0,individual/Q9NR21_1_42__GFPp5__Ntail.fasta
Q9NR21_1_42__GFPp5__Ctail,Q9NR21_1_42,GFP+5,GFPp5,5,Ctail,42,257,-0.1666666666666666,0.3095238095238095,0.2416210487824704,0.573,,0,individual/Q9NR21_1_42__GFPp5__Ctail.fasta
Q9NR21_1_42__GFPm15__Ntail,Q9NR21_1_42,GFP-15,GFPm15,-15,Ntail,42,257,-0.1666666666666666,0.3095238095238095,0.2416210487824704,0.573,,0,individual/Q9NR21_1_42__GFPm15__Ntail.fasta
Q9NR21_1_42__GFPm15__Ctail,Q9NR21_1_42,GFP-15,GFPm15,-15,Ctail,42,257,-0.1666666666666666,0.3095238095238095,0.2416210487824704,0.573,,0,individual/Q9NR21_1_42__GFPm15__Ctail.fasta
Q5VXT5_236_272__GFPp15__Ntail,Q5VXT5_236_272,GFP+15,GFPp15,15,Ntail,37,252,-0.2162162162162162,0.2702702702702703,0.1822724535591553,0.603,,0,individual/Q5VXT5_236_272__GFPp15__Ntail.fasta
Q5VXT5_236_272__GFPp15__Ctail,Q5VXT5_236_272,GFP+15,GFPp15,15,Ctail,37,252,-0.2162162162162162,0.2702702702702703,0.1822724535591553,0.603,,0,individual/Q5VXT5_236_272__GFPp15__Ctail.fasta
Q5VXT5_236_272__GFPp5__Ntail,Q5VXT5_236_272,GFP+5,GFPp5,5,Ntail,37,252,-0.2162162162162162,0.2702702702702703,0.1822724535591553,0.603,,0,individual/Q5VXT5_236_272__GFPp5__Ntail.fasta
Q5VXT5_236_272__GFPp5__Ctail,Q5VXT5_236_272,GFP+5,GFPp5,5,Ctail,37,252,-0.2162162162162162,0.2702702702702703,0.1822724535591553,0.603,,0,individual/Q5VXT5_236_272__GFPp5__Ctail.fasta
Q5VXT5_236_272__GFPm15__Ntail,Q5VXT5_236_272,GFP-15,GFPm15,-15,Ntail,37,252,-0.2162162162162162,0.2702702702702703,0.1822724535591553,0.603,,0,individual/Q5VXT5_236_272__GFPm15__Ntail.fasta
Q5VXT5_236_272__GFPm15__Ctail,Q5VXT5_236_272,GFP-15,GFPm15,-15,Ctail,37,252,-0.2162162162162162,0.2702702702702703,0.1822724535591553,0.603,,0,individual/Q5VXT5_236_272__GFPm15__Ctail.fasta
P13671_612_645__GFPp15__Ntail,P13671_612_645,GFP+15,GFPp15,15,Ntail,34,249,-0.2647058823529412,0.3235294117647059,0.2500689008489049,0.607,,0,individual/P13671_612_645__GFPp15__Ntail.fasta
P13671_612_645__GFPp15__Ctail,P13671_612_645,GFP+15,GFPp15,15,Ctail,34,249,-0.2647058823529412,0.3235294117647059,0.2500689008489049,0.607,,0,individual/P13671_612_645__GFPp15__Ctail.fasta
P13671_612_645__GFPp5__Ntail,P13671_612_645,GFP+5,GFPp5,5,Ntail,34,249,-0.2647058823529412,0.3235294117647059,0.2500689008489049,0.607,,0,individual/P13671_612_645__GFPp5__Ntail.fasta
P13671_612_645__GFPp5__Ctail,P13671_612_645,GFP+5,GFPp5,5,Ctail,34,249,-0.2647058823529412,0.3235294117647059,0.2500689008489049,0.607,,0,individual/P13671_612_645__GFPp5__Ctail.fasta
P13671_612_645__GFPm15__Ntail,P13671_612_645,GFP-15,GFPm15,-15,Ntail,34,249,-0.2647058823529412,0.3235294117647059,0.2500689008489049,0.607,,0,individual/P13671_612_645__GFPm15__Ntail.fasta
P13671_612_645__GFPm15__Ctail,P13671_612_645,GFP-15,GFPm15,-15,Ctail,34,249,-0.2647058823529412,0.3235294117647059,0.2500689008489049,0.607,,0,individual/P13671_612_645__GFPm15__Ctail.fasta
Q86WN1_432_476__GFPp15__Ntail,Q86WN1_432_476,GFP+15,GFPp15,15,Ntail,45,260,-0.2222222222222222,0.3111111111111111,0.3710809120742767,0.561,,0,individual/Q86WN1_432_476__GFPp15__Ntail.fasta
Q86WN1_432_476__GFPp15__Ctail,Q86WN1_432_476,GFP+15,GFPp15,15,Ctail,45,260,-0.2222222222222222,0.3111111111111111,0.3710809120742767,0.561,,0,individual/Q86WN1_432_476__GFPp15__Ctail.fasta
Q86WN1_432_476__GFPp5__Ntail,Q86WN1_432_476,GFP+5,GFPp5,5,Ntail,45,260,-0.2222222222222222,0.3111111111111111,0.3710809120742767,0.561,,0,individual/Q86WN1_432_476__GFPp5__Ntail.fasta
Q86WN1_432_476__GFPp5__Ctail,Q86WN1_432_476,GFP+5,GFPp5,5,Ctail,45,260,-0.2222222222222222,0.3111111111111111,0.3710809120742767,0.561,,0,individual/Q86WN1_432_476__GFPp5__Ctail.fasta
Q86WN1_432_476__GFPm15__Ntail,Q86WN1_432_476,GFP-15,GFPm15,-15,Ntail,45,260,-0.2222222222222222,0.3111111111111111,0.3710809120742767,0.561,,0,individual/Q86WN1_432_476__GFPm15__Ntail.fasta
Q86WN1_432_476__GFPm15__Ctail,Q86WN1_432_476,GFP-15,GFPm15,-15,Ctail,45,260,-0.2222222222222222,0.3111111111111111,0.3710809120742767,0.561,,0,individual/Q86WN1_432_476__GFPm15__Ctail.fasta
Q9UMZ3_2291_2332__GFPp15__Ntail,Q9UMZ3_2291_2332,GFP+15,GFPp15,15,Ntail,42,257,-0.1904761904761904,0.2857142857142857,0.3312808725079725,0.563,,0,individual/Q9UMZ3_2291_2332__GFPp15__Ntail.fasta
Q9UMZ3_2291_2332__GFPp15__Ctail,Q9UMZ3_2291_2332,GFP+15,GFPp15,15,Ctail,42,257,-0.1904761904761904,0.2857142857142857,0.3312808725079725,0.563,,0,individual/Q9UMZ3_2291_2332__GFPp15__Ctail.fasta
Q9UMZ3_2291_2332__GFPp5__Ntail,Q9UMZ3_2291_2332,GFP+5,GFPp5,5,Ntail,42,257,-0.1904761904761904,0.2857142857142857,0.3312808725079725,0.563,,0,individual/Q9UMZ3_2291_2332__GFPp5__Ntail.fasta
Q9UMZ3_2291_2332__GFPp5__Ctail,Q9UMZ3_2291_2332,GFP+5,GFPp5,5,Ctail,42,257,-0.1904761904761904,0.2857142857142857,0.3312808725079725,0.563,,0,individual/Q9UMZ3_2291_2332__GFPp5__Ctail.fasta
Q9UMZ3_2291_2332__GFPm15__Ntail,Q9UMZ3_2291_2332,GFP-15,GFPm15,-15,Ntail,42,257,-0.1904761904761904,0.2857142857142857,0.3312808725079725,0.563,,0,individual/Q9UMZ3_2291_2332__GFPm15__Ntail.fasta
Q9UMZ3_2291_2332__GFPm15__Ctail,Q9UMZ3_2291_2332,GFP-15,GFPm15,-15,Ctail,42,257,-0.1904761904761904,0.2857142857142857,0.3312808725079725,0.563,,0,individual/Q9UMZ3_2291_2332__GFPm15__Ctail.fasta
P21802_118_157__GFPp15__Ntail,P21802_118_157,GFP+15,GFPp15,15,Ntail,40,255,-0.2,0.3,0.5493333333333335,0.526,,0,individual/P21802_118_157__GFPp15__Ntail.fasta
P21802_118_157__GFPp15__Ctail,P21802_118_157,GFP+15,GFPp15,15,Ctail,40,255,-0.2,0.3,0.5493333333333335,0.526,,0,individual/P21802_118_157__GFPp15__Ctail.fasta
P21802_118_157__GFPp5__Ntail,P21802_118_157,GFP+5,GFPp5,5,Ntail,40,255,-0.2,0.3,0.5493333333333335,0.526,,0,individual/P21802_118_157__GFPp5__Ntail.fasta
P21802_118_157__GFPp5__Ctail,P21802_118_157,GFP+5,GFPp5,5,Ctail,40,255,-0.2,0.3,0.5493333333333335,0.526,,0,individual/P21802_118_157__GFPp5__Ctail.fasta
P21802_118_157__GFPm15__Ntail,P21802_118_157,GFP-15,GFPm15,-15,Ntail,40,255,-0.2,0.3,0.5493333333333335,0.526,,0,individual/P21802_118_157__GFPm15__Ntail.fasta
P21802_118_157__GFPm15__Ctail,P21802_118_157,GFP-15,GFPm15,-15,Ctail,40,255,-0.2,0.3,0.5493333333333335,0.526,,0,individual/P21802_118_157__GFPm15__Ctail.fasta
Q3KNV8_103_148__GFPp15__Ntail,Q3KNV8_103_148,GFP+15,GFPp15,15,Ntail,46,261,-0.1739130434782608,0.4347826086956521,0.1123227987265067,0.601,,0,individual/Q3KNV8_103_148__GFPp15__Ntail.fasta
Q3KNV8_103_148__GFPp15__Ctail,Q3KNV8_103_148,GFP+15,GFPp15,15,Ctail,46,261,-0.1739130434782608,0.4347826086956521,0.1123227987265067,0.601,,0,individual/Q3KNV8_103_148__GFPp15__Ctail.fasta
Q3KNV8_103_148__GFPp5__Ntail,Q3KNV8_103_148,GFP+5,GFPp5,5,Ntail,46,261,-0.1739130434782608,0.4347826086956521,0.1123227987265067,0.601,,0,individual/Q3KNV8_103_148__GFPp5__Ntail.fasta
Q3KNV8_103_148__GFPp5__Ctail,Q3KNV8_103_148,GFP+5,GFPp5,5,Ctail,46,261,-0.1739130434782608,0.4347826086956521,0.1123227987265067,0.601,,0,individual/Q3KNV8_103_148__GFPp5__Ctail.fasta
Q3KNV8_103_148__GFPm15__Ntail,Q3KNV8_103_148,GFP-15,GFPm15,-15,Ntail,46,261,-0.1739130434782608,0.4347826086956521,0.1123227987265067,0.601,,0,individual/Q3KNV8_103_148__GFPm15__Ntail.fasta
Q3KNV8_103_148__GFPm15__Ctail,Q3KNV8_103_148,GFP-15,GFPm15,-15,Ctail,46,261,-0.1739130434782608,0.4347826086956521,0.1123227987265067,0.601,,0,individual/Q3KNV8_103_148__GFPm15__Ctail.fasta
Q9UK22_1_36__GFPp15__Ntail,Q9UK22_1_36,GFP+15,GFPp15,15,Ntail,36,251,-0.3611111111111111,0.4722222222222222,0.1228430714292148,0.643,,0,individual/Q9UK22_1_36__GFPp15__Ntail.fasta
Q9UK22_1_36__GFPp15__Ctail,Q9UK22_1_36,GFP+15,GFPp15,15,Ctail,36,251,-0.3611111111111111,0.4722222222222222,0.1228430714292148,0.643,,0,individual/Q9UK22_1_36__GFPp15__Ctail.fasta
Q9UK22_1_36__GFPp5__Ntail,Q9UK22_1_36,GFP+5,GFPp5,5,Ntail,36,251,-0.3611111111111111,0.4722222222222222,0.1228430714292148,0.643,,0,individual/Q9UK22_1_36__GFPp5__Ntail.fasta
Q9UK22_1_36__GFPp5__Ctail,Q9UK22_1_36,GFP+5,GFPp5,5,Ctail,36,251,-0.3611111111111111,0.4722222222222222,0.1228430714292148,0.643,,0,individual/Q9UK22_1_36__GFPp5__Ctail.fasta
Q9UK22_1_36__GFPm15__Ntail,Q9UK22_1_36,GFP-15,GFPm15,-15,Ntail,36,251,-0.3611111111111111,0.4722222222222222,0.1228430714292148,0.643,,0,individual/Q9UK22_1_36__GFPm15__Ntail.fasta
Q9UK22_1_36__GFPm15__Ctail,Q9UK22_1_36,GFP-15,GFPm15,-15,Ctail,36,251,-0.3611111111111111,0.4722222222222222,0.1228430714292148,0.643,,0,individual/Q9UK22_1_36__GFPm15__Ctail.fasta
Q58FF7_558_597__GFPp15__Ntail,Q58FF7_558_597,GFP+15,GFPp15,15,Ntail,40,255,-0.375,0.475,0.2278806485656719,0.628,,0,individual/Q58FF7_558_597__GFPp15__Ntail.fasta
Q58FF7_558_597__GFPp15__Ctail,Q58FF7_558_597,GFP+15,GFPp15,15,Ctail,40,255,-0.375,0.475,0.2278806485656719,0.628,,0,individual/Q58FF7_558_597__GFPp15__Ctail.fasta
Q58FF7_558_597__GFPp5__Ntail,Q58FF7_558_597,GFP+5,GFPp5,5,Ntail,40,255,-0.375,0.475,0.2278806485656719,0.628,,0,individual/Q58FF7_558_597__GFPp5__Ntail.fasta
Q58FF7_558_597__GFPp5__Ctail,Q58FF7_558_597,GFP+5,GFPp5,5,Ctail,40,255,-0.375,0.475,0.2278806485656719,0.628,,0,individual/Q58FF7_558_597__GFPp5__Ctail.fasta
Q58FF7_558_597__GFPm15__Ntail,Q58FF7_558_597,GFP-15,GFPm15,-15,Ntail,40,255,-0.375,0.475,0.2278806485656719,0.628,,0,individual/Q58FF7_558_597__GFPm15__Ntail.fasta
Q58FF7_558_597__GFPm15__Ctail,Q58FF7_558_597,GFP-15,GFPm15,-15,Ctail,40,255,-0.375,0.475,0.2278806485656719,0.628,,0,individual/Q58FF7_558_597__GFPm15__Ctail.fasta
Q14766_1499_1533__GFPp15__Ntail,Q14766_1499_1533,GFP+15,GFPp15,15,Ntail,35,250,-0.2285714285714285,0.4,0.2187093178589972,0.581,,0,individual/Q14766_1499_1533__GFPp15__Ntail.fasta
Q14766_1499_1533__GFPp15__Ctail,Q14766_1499_1533,GFP+15,GFPp15,15,Ctail,35,250,-0.2285714285714285,0.4,0.2187093178589972,0.581,,0,individual/Q14766_1499_1533__GFPp15__Ctail.fasta
Q14766_1499_1533__GFPp5__Ntail,Q14766_1499_1533,GFP+5,GFPp5,5,Ntail,35,250,-0.2285714285714285,0.4,0.2187093178589972,0.581,,0,individual/Q14766_1499_1533__GFPp5__Ntail.fasta
Q14766_1499_1533__GFPp5__Ctail,Q14766_1499_1533,GFP+5,GFPp5,5,Ctail,35,250,-0.2285714285714285,0.4,0.2187093178589972,0.581,,0,individual/Q14766_1499_1533__GFPp5__Ctail.fasta
Q14766_1499_1533__GFPm15__Ntail,Q14766_1499_1533,GFP-15,GFPm15,-15,Ntail,35,250,-0.2285714285714285,0.4,0.2187093178589972,0.581,,0,individual/Q14766_1499_1533__GFPm15__Ntail.fasta
Q14766_1499_1533__GFPm15__Ctail,Q14766_1499_1533,GFP-15,GFPm15,-15,Ctail,35,250,-0.2285714285714285,0.4,0.2187093178589972,0.581,,0,individual/Q14766_1499_1533__GFPm15__Ctail.fasta
Q9BS16_1_33__GFPp15__Ntail,Q9BS16_1_33,GFP+15,GFPp15,15,Ntail,33,248,-0.2727272727272727,0.4545454545454545,0.2135785768591536,0.608,,0,individual/Q9BS16_1_33__GFPp15__Ntail.fasta
Q9BS16_1_33__GFPp15__Ctail,Q9BS16_1_33,GFP+15,GFPp15,15,Ctail,33,248,-0.2727272727272727,0.4545454545454545,0.2135785768591536,0.608,,0,individual/Q9BS16_1_33__GFPp15__Ctail.fasta
Q9BS16_1_33__GFPp5__Ntail,Q9BS16_1_33,GFP+5,GFPp5,5,Ntail,33,248,-0.2727272727272727,0.4545454545454545,0.2135785768591536,0.608,,0,individual/Q9BS16_1_33__GFPp5__Ntail.fasta
Q9BS16_1_33__GFPp5__Ctail,Q9BS16_1_33,GFP+5,GFPp5,5,Ctail,33,248,-0.2727272727272727,0.4545454545454545,0.2135785768591536,0.608,,0,individual/Q9BS16_1_33__GFPp5__Ctail.fasta
Q9BS16_1_33__GFPm15__Ntail,Q9BS16_1_33,GFP-15,GFPm15,-15,Ntail,33,248,-0.2727272727272727,0.4545454545454545,0.2135785768591536,0.608,,0,individual/Q9BS16_1_33__GFPm15__Ntail.fasta
Q9BS16_1_33__GFPm15__Ctail,Q9BS16_1_33,GFP-15,GFPm15,-15,Ctail,33,248,-0.2727272727272727,0.4545454545454545,0.2135785768591536,0.608,,0,individual/Q9BS16_1_33__GFPm15__Ctail.fasta
Q9BXV9_57_100__GFPp15__Ntail,Q9BXV9_57_100,GFP+15,GFPp15,15,Ntail,44,259,-0.2272727272727272,0.4545454545454545,0.535252513517029,0.508,,0,individual/Q9BXV9_57_100__GFPp15__Ntail.fasta
Q9BXV9_57_100__GFPp15__Ctail,Q9BXV9_57_100,GFP+15,GFPp15,15,Ctail,44,259,-0.2272727272727272,0.4545454545454545,0.535252513517029,0.508,,0,individual/Q9BXV9_57_100__GFPp15__Ctail.fasta
Q9BXV9_57_100__GFPp5__Ntail,Q9BXV9_57_100,GFP+5,GFPp5,5,Ntail,44,259,-0.2272727272727272,0.4545454545454545,0.535252513517029,0.508,,0,individual/Q9BXV9_57_100__GFPp5__Ntail.fasta
Q9BXV9_57_100__GFPp5__Ctail,Q9BXV9_57_100,GFP+5,GFPp5,5,Ctail,44,259,-0.2272727272727272,0.4545454545454545,0.535252513517029,0.508,,0,individual/Q9BXV9_57_100__GFPp5__Ctail.fasta
Q9BXV9_57_100__GFPm15__Ntail,Q9BXV9_57_100,GFP-15,GFPm15,-15,Ntail,44,259,-0.2272727272727272,0.4545454545454545,0.535252513517029,0.508,,0,individual/Q9BXV9_57_100__GFPm15__Ntail.fasta
Q9BXV9_57_100__GFPm15__Ctail,Q9BXV9_57_100,GFP-15,GFPm15,-15,Ctail,44,259,-0.2272727272727272,0.4545454545454545,0.535252513517029,0.508,,0,individual/Q9BXV9_57_100__GFPm15__Ctail.fasta
Q5TD94_375_414__GFPp15__Ntail,Q5TD94_375_414,GFP+15,GFPp15,15,Ntail,40,255,-0.45,0.6,0.457094779297486,0.617,,0,individual/Q5TD94_375_414__GFPp15__Ntail.fasta
Q5TD94_375_414__GFPp15__Ctail,Q5TD94_375_414,GFP+15,GFPp15,15,Ctail,40,255,-0.45,0.6,0.457094779297486,0.617,,0,individual/Q5TD94_375_414__GFPp15__Ctail.fasta
Q5TD94_375_414__GFPp5__Ntail,Q5TD94_375_414,GFP+5,GFPp5,5,Ntail,40,255,-0.45,0.6,0.457094779297486,0.617,,0,individual/Q5TD94_375_414__GFPp5__Ntail.fasta
Q5TD94_375_414__GFPp5__Ctail,Q5TD94_375_414,GFP+5,GFPp5,5,Ctail,40,255,-0.45,0.6,0.457094779297486,0.617,,0,individual/Q5TD94_375_414__GFPp5__Ctail.fasta
Q5TD94_375_414__GFPm15__Ntail,Q5TD94_375_414,GFP-15,GFPm15,-15,Ntail,40,255,-0.45,0.6,0.457094779297486,0.617,,0,individual/Q5TD94_375_414__GFPm15__Ntail.fasta
Q5TD94_375_414__GFPm15__Ctail,Q5TD94_375_414,GFP-15,GFPm15,-15,Ctail,40,255,-0.45,0.6,0.457094779297486,0.617,,0,individual/Q5TD94_375_414__GFPm15__Ctail.fasta
O00421_1_37__GFPp15__Ntail,O00421_1_37,GFP+15,GFPp15,15,Ntail,37,252,-0.2702702702702703,0.3783783783783784,0.3405439294655424,0.574,,0,individual/O00421_1_37__GFPp15__Ntail.fasta
O00421_1_37__GFPp15__Ctail,O00421_1_37,GFP+15,GFPp15,15,Ctail,37,252,-0.2702702702702703,0.3783783783783784,0.3405439294655424,0.574,,0,individual/O00421_1_37__GFPp15__Ctail.fasta
O00421_1_37__GFPp5__Ntail,O00421_1_37,GFP+5,GFPp5,5,Ntail,37,252,-0.2702702702702703,0.3783783783783784,0.3405439294655424,0.574,,0,individual/O00421_1_37__GFPp5__Ntail.fasta
